n,RS,JS,PJW,ELF,BKDR,SDBM,DJB,DEK,AP
288768,9,10,231,231,9,10,6,16,8
289792,10,10,232,232,9,11,6,16,8
290816,10,10,232,232,9,11,6,16,8
291840,10,10,235,235,9,11,6,16,8
292864,10,10,236,236,9,11,6,16,8
293888,10,10,236,236,9,11,6,17,8
294912,10,10,239,239,9,11,6,18,8
295936,10,10,239,239,9,11,6,18,8
296960,10,10,239,239,9,11,6,18,8
297984,10,10,240,240,9,11,6,18,8
299008,10,10,241,241,9,11,6,18,8
300032,10,10,243,243,9,11,6,18,8
301056,10,10,245,245,9,11,6,18,8
302080,10,10,247,247,9,11,6,18,8
303104,10,10,248,248,10,11,6,18,8
304128,10,10,252,252,11,13,6,18,8
305152,10,10,253,253,11,13,6,18,8
306176,10,10,255,255,11,13,6,18,8
307200,10,10,257,257,11,14,6,18,8
308224,10,10,260,260,11,15,6,19,8
309248,11,10,261,261,11,15,6,19,8
310272,11,10,262,262,11,15,6,19,8
311296,11,10,263,263,11,16,6,19,8
312320,11,10,265,265,11,17,7,19,8
313344,11,10,268,268,11,17,7,20,8
314368,11,10,268,268,11,17,7,20,8
315392,11,10,270,270,11,17,7,20,8
316416,11,10,270,270,11,17,7,20,8
317440,11,10,270,270,11,17,7,20,8
318464,11,10,272,272,11,17,7,20,8
319488,11,10,273,273,11,17,7,20,8
320512,11,10,274,274,11,17,7,20,8
321536,11,10,277,277,11,17,7,20,8
322560,12,10,279,279,11,17,7,20,8
323584,12,10,279,279,11,17,7,21,8
324608,12,10,281,281,11,17,7,21,9
325632,12,10,284,284,11,17,7,21,9
326656,12,10,286,286,11,17,7,21,9
327680,13,11,288,288,11,17,8,21,9
328704,13,11,289,289,11,17,8,21,9
329728,13,11,289,289,11,17,8,21,9
330752,13,11,289,289,11,17,8,21,9
331776,14,11,290,290,11,17,9,21,9
332800,14,11,290,290,11,17,9,21,9
333824,14,11,290,290,11,17,9,21,9
334848,14,11,292,292,11,17,9,21,9
335872,14,11,293,293,11,17,9,22,9
336896,14,11,293,293,11,17,9,23,9
337920,14,11,296,296,11,17,9,23,9
338944,14,11,301,301,11,18,9,23,9
339968,14,11,301,301,11,18,9,23,9
340992,14,11,303,303,11,18,10,23,9
342016,14,11,306,306,11,18,10,23,9
343040,14,11,306,306,11,18,10,23,9
344064,14,11,310,310,11,18,10,23,9
345088,14,11,313,313,11,18,11,23,9
346112,14,12,315,315,11,18,11,23,9
347136,14,12,317,317,11,18,11,23,9
348160,14,12,318,318,11,18,11,23,9
349184,14,12,319,319,11,18,11,23,9
350208,14,12,319,319,11,19,12,23,9
351232,14,12,324,324,11,19,12,23,9
352256,14,12,326,326,11,20,12,23,9
353280,14,12,328,328,11,20,12,24,9
354304,14,12,328,328,11,21,12,24,9
355328,14,12,332,332,11,21,13,24,9
356352,14,12,335,335,11,21,13,24,10
357376,14,12,335,335,11,21,13,24,10
358400,14,12,335,335,11,21,13,24,10
359424,14,12,335,335,11,21,14,24,10
360448,14,12,337,337,11,21,15,25,10
361472,14,12,339,339,11,21,15,26,10
362496,14,12,341,341,12,21,16,26,10
363520,14,12,345,345,12,21,16,26,10
364544,14,12,348,348,12,21,16,26,10
365568,14,12,350,350,12,21,16,28,10
366592,14,12,350,350,12,21,17,28,10
367616,14,12,351,351,12,21,17,28,10
368640,14,13,352,352,12,22,17,28,10
369664,14,13,355,355,12,22,17,28,11
370688,14,13,356,356,12,22,17,28,11
371712,14,13,360,360,12,22,17,28,11
372736,14,13,362,362,13,22,17,28,11
373760,14,13,362,362,13,22,17,28,11
